,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,33,"[3, 3, 3, 3, 3, 3, 3, 3, None, 3]",True,-
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",67,33,"[5, 5, 5, 5, 5, 5, None, None, None, 5]",True,-
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",68,32,"[6, 6, 6, 6, 6, None, None, None, None, 6]",True,-
3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",69,31,"[4, 4, 4, 4, 4, 4, 4, 4, None, 4]",True,-
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",70,30,"[8, 8, 8, 8, 8, 8, 8, None, None, 8]",True,-
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",74,26,"[2, 2, 2, 2, 2, 2, None, None, None, 2]",True,-
6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",69,31,"[2, 2, 2, 2, 2, 2, 2, 2, None, 2]",True,-
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,35,"[4, 4, 4, 4, 4, 4, 4, None, None, 4]",True,-
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,35,"[10, 10, 10, 10, 10, None, None, None, None, 10]",True,-
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",72,28,"[6, 6, 6, 6, 6, 6, 6, 6, None, 6]",True,-
