,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",67,193,"[None, 4, 4, 4, 4, 4, None, 4, 4, 4]",True,-
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",69,191,"[None, None, 6, 6, 6, 6, None, 6, 6, 6]",True,-
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",60,200,"[None, None, None, None, None, 7, None, 7, 7, 7]",True,-
3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",58,202,"[5, 5, 5, 5, 5, 5, None, 5, 5, 5]",True,-
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",72,188,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",True,-
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",69,191,"[8, 8, 8, 8, 8, 8, None, 8, 8, 8]",True,-
6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",60,200,"[None, None, None, None, None, None, None, 6, 6, 6]",True,-
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",84,176,"[10, 10, 10, None, 10, 10, 10, 10, 10, 10]",True,-
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",71,189,"[3, 3, 3, 3, 3, 3, None, 3, 3, 3]",True,-
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",65,195,"[None, None, 4, 4, 4, 4, None, 4, 4, 4]",True,-
